name,category,lowest_rate,plus_rate,pro_rate,signup_bonus,daily_checkin_bonus,checkin_mode,balance,url,invite_url,notes,usage_status,checked_at
Walk AI Coding,收费站,0.05,0.1,0.15,,,无签到,,https://walkcoding.top/register?aff=D9ZPTGW5WJZ8,https://walkcoding.top/register?aff=D9ZPTGW5WJZ8,,,2026-09-20T09:02:41
JuCodex.com,收费站,0.05,0.1,0.2,1.0,,无签到,,https://jucodex.com/register?aff=UDC5,https://jucodex.com/register?aff=UDC5,github登录，邀请一个人2,,2026-09-20T09:02:41
骆驼,收费站,0.05,0.12,0.14,,,无签到,,https://luotuokj.top/register?aff=DVECCKT9T6UA,https://luotuokj.top/register?aff=DVECCKT9T6UA,,,2026-09-20T09:02:41
Token API,收费站,0.05,0.12,0.18,0.2,,无签到,,https://token.xn--cjz.space/register?aff=K8MX2HLYJH6K,https://token.xn--cjz.space/register?aff=K8MX2HLYJH6K,,,2026-09-20T09:02:41
AbinAPI,收费站,0.05,0.12,0.2,,,无签到,,https://www.abinapi.com/register?aff=LJGSBAWT2296,https://www.abinapi.com/register?aff=LJGSBAWT2296,,,2026-09-20T09:02:41
鱼鱼API,收费站,0.05,0.12,0.2,0.2,,无签到,,https://sub.anzhiyu.com/register?aff=RA2M3HV7WMPT,https://sub.anzhiyu.com/register?aff=RA2M3HV7WMPT,邀请送100刀日卡（需绑定，1倍率），8.6过期,,2026-09-20T09:02:41
SoCode,收费站,0.05,0.12,,,,无签到,,https://api.socode.cc/register?aff=BK986RFT3MU9,https://api.socode.cc/register?aff=BK986RFT3MU9,,,2026-09-20T09:02:41
WorldClawPro,收费站,0.05,,0.13,0.02,,无签到,,https://worldclawpro.ai/sign-up?aff=FuJ5,https://worldclawpro.ai/sign-up?aff=FuJ5,福利分组,,2026-09-20T09:02:41
sunapi,公益站,0.05,,,1.0,不固定,手动,,https://newapi.chinahk.qzz.io/sign-up?aff=NIjQ,https://newapi.chinahk.qzz.io/sign-up?aff=NIjQ,,,2026-09-20T09:02:41
星港AI,收费站,0.05,,,3.0,,无签到,,https://xinggangai.com/register?aff=ouEW,https://xinggangai.com/register?aff=ouEW,,,2026-09-20T09:02:41
Colink API,收费站,0.053,0.085,0.095,0.2,,无签到,,https://colink.site/register?aff=H22U6B28CTVP,https://colink.site/register?aff=H22U6B28CTVP,,,2026-09-20T09:02:41
奇点,收费站,0.055,0.095,0.15,,,无签到,,https://qidian7.de5.net/register?aff=ESL6VWN6GDRH,https://qidian7.de5.net/register?aff=ESL6VWN6GDRH,,,2026-09-20T09:02:41
247看API,收费站,0.055,0.1,0.15,,,无签到,,https://api.247kan.com/register?aff=XD836AN58YG6,https://api.247kan.com/register?aff=XD836AN58YG6,dc站登录,,2026-09-20T09:02:41
shiguangyun,收费站,0.055,0.1,0.22,,,无签到,,https://shiguangyun.shop/register?aff=4PHUFNVYWZ8S,https://shiguangyun.shop/register?aff=4PHUFNVYWZ8S,,,2026-09-20T09:02:41
GGAPI,收费站,0.055,0.103,0.188,0.1,,无签到,,,,,,2026-09-20T09:02:41
星枢AI,收费站,0.055,0.11,0.15,,,无签到,,https://goaistore.ccwu.cc/register?aff=UF2K5NX6GVNK,https://goaistore.ccwu.cc/register?aff=UF2K5NX6GVNK,特价 0.085; plus 0.13; pro 0.15,,2026-09-20T09:02:41
蛋蛋云,收费站,0.055,0.135,0.18,0.1,,无签到,,,,,,2026-09-20T09:02:41
西宫爱中转,收费站,0.06,0.06,0.08,,,无签到,,https://xigong.cloud/register?aff=Z5WJDRUF4TQU,https://xigong.cloud/register?aff=Z5WJDRUF4TQU,,,2026-09-20T09:02:41
AIHub,收费站,0.06,0.06,0.11,,,无签到,,https://aihub.top/register?aff=E82QMQTQKNGU,https://aihub.top/register?aff=E82QMQTQKNGU,,,2026-09-20T09:02:41
VC,收费站,0.06,0.06,0.12,,,无签到,,https://sub.vcnovb.cn/register?aff=T5QDLGL67WHR,https://sub.vcnovb.cn/register?aff=T5QDLGL67WHR,福利分组 0.01、0.04; plus 0.1; pro 0.1、0.25,,2026-09-20T09:02:41
发财API,收费站,0.06,0.06,0.13,,,无签到,,https://api.dali2897.com/register?aff=l1lI,https://api.dali2897.com/register?aff=l1lI,十元起充，充值满十元送2元，满50可签到,,2026-09-20T09:02:41
2Chat,收费站,0.06,0.06,0.145,0.2,,无签到,,https://2chat.cc/register?aff=3RXSDXUZKCTW,https://2chat.cc/register?aff=3RXSDXUZKCTW,特惠 0.02; plus 0.06; pro 0.12,,2026-09-20T09:02:41
ZAION,收费站,0.06,0.06,0.15,1.5,,无签到,,https://api.060913.xyz/register?aff=2YMECCKXLMM4,https://api.060913.xyz/register?aff=2YMECCKXLMM4,,,2026-09-20T09:02:41
Mad API,收费站,0.06,0.06,,4.0,,无签到,,https://mad.myddns.me/sign-up?aff=SEKp,https://mad.myddns.me/sign-up?aff=SEKp,,,2026-09-20T09:02:41
RapidApi,收费站,0.06,0.09,0.12,,,无签到,,https://rapidapi.cc/register?aff=BU8R22DZPFFK,https://rapidapi.cc/register?aff=BU8R22DZPFFK,,,2026-09-20T09:02:41
HUBWAY,收费站,0.06,0.1,0.12,15.0,,无签到,,https://hubway.cc/register?aff=KQFDS5PAJEVS,https://hubway.cc/register?aff=KQFDS5PAJEVS,,,2026-09-20T09:02:41
星洛 AI,收费站,0.06,0.1,0.18,,,无签到,,https://aiccxx.cn/register?aff=PKP7XUHCZVZS,https://aiccxx.cn/register?aff=PKP7XUHCZVZS,,,2026-09-20T09:02:41
悟空API,收费站,0.06,0.1,0.22,0.2,,无签到,,https://wkapi.club/sign-up?aff=KZrP,https://wkapi.club/sign-up?aff=KZrP,,,2026-09-20T09:02:41
PawsAI,收费站,0.06,0.11,0.13,1.0,,无签到,,https://ai.furry.edu.gr/register?aff=3HLFGGH7Z525,https://ai.furry.edu.gr/register?aff=3HLFGGH7Z525,,,2026-09-20T09:02:41
Fox API,收费站,0.06,0.11,0.17,0.1,,无签到,,https://api.fox1x.eu.cc/sign-up?aff=eEAv,https://api.fox1x.eu.cc/sign-up?aff=eEAv,,,2026-09-20T09:02:41
小白Code,收费站,0.06,0.11,0.19,1.0,0.25,手动,,https://token.dialoguedui.com/register?aff=DGRXRHBHQKDU,https://token.dialoguedui.com/register?aff=DGRXRHBHQKDU,福利分组 0.07; pro 0.19,,2026-09-20T09:02:41
极刻,收费站,0.06,0.13,0.23,1.0,,无签到,,https://api.zeekai.cc/register?aff=FVWSY2TEB9NL,https://api.zeekai.cc/register?aff=FVWSY2TEB9NL,,,2026-09-20T09:02:41
RedStoneAPI,收费站,0.06,0.15,0.28,0.5,,无签到,,https://api.mcmy.love/register?aff=ZWQADKDZM9CV,https://api.mcmy.love/register?aff=ZWQADKDZM9CV,,,2026-09-20T09:02:41
GPTEAM,收费站,0.06,,0.06,,,无签到,,https://portal.gpteamservices.com/portal/register?invite_code=BBJFNHVTH2RJ,https://portal.gpteamservices.com/portal/register?invite_code=BBJFNHVTH2RJ,,,2026-09-20T09:02:41
Torch AI,收费站,0.06,,0.28,,,无签到,,https://torchai.ai/sign-up?aff=m3pV,https://torchai.ai/sign-up?aff=m3pV,,,2026-09-20T09:02:41
星辰AI,收费站,0.065,0.065,0.088,,,无签到,,https://xcai.pro/sign-up?aff=ObyM,https://xcai.pro/sign-up?aff=ObyM,,,2026-09-20T09:02:41
NikoAPI,收费站,0.065,0.1,0.15,,,无签到,,https://nikoapi.xyz/sign-up?aff=m47a,https://nikoapi.xyz/sign-up?aff=m47a,,,2026-09-20T09:02:41
HeyRoute,收费站,0.065,,0.065,0.25,,无签到,,https://heyroute.ai/r/c/ch_krhnf3wxhn,https://heyroute.ai/r/c/ch_krhnf3wxhn,,,2026-09-20T09:02:41
艾可,收费站,0.069,0.4,0.5,1.0,,无签到,,https://yoct.cn/sign-up?aff=NaAO,https://yoct.cn/sign-up?aff=NaAO,每天签到0.2三天临时额度,,2026-09-20T09:02:41
BearLab AI,收费站,0.07,0.07,0.15,0.05,,无签到,,https://bearlab.ai/sign-up?aff=Qaet,https://bearlab.ai/sign-up?aff=Qaet,十元起充,,2026-09-20T09:02:41
Lunora API,收费站,0.07,0.07,0.15,0.2,,无签到,,https://www.uselunora.com/register?aff=LAP8JP77SPAA,https://www.uselunora.com/register?aff=LAP8JP77SPAA,10刀体验余额8.12到期,,2026-09-20T09:02:41
codekey.ai,收费站,0.07,0.1,0.15,,,无签到,,https://codekey.ai/register?aff=AEB4D5VL3MJQ,https://codekey.ai/register?aff=AEB4D5VL3MJQ,,,2026-09-20T09:02:41
全村的API,收费站,0.07,0.12,0.15,1.0,,无签到,,https://new.tianluo.ccwu.cc/sign-up?aff=f2Qq,https://new.tianluo.ccwu.cc/sign-up?aff=f2Qq,,,2026-09-20T09:02:41
Jasper,收费站,0.07,0.12,0.2,,,无签到,,https://api.yjs.im/sign-up?aff=N9eE,https://api.yjs.im/sign-up?aff=N9eE,,,2026-09-20T09:02:41
哟词元,收费站,0.07,0.12,0.22,,,无签到,,https://yostoken.top/register?aff=UV6ZYYGDAY6C,https://yostoken.top/register?aff=UV6ZYYGDAY6C,,,2026-09-20T09:02:41
归离@API,收费站,0.07,0.13,0.2,1.0,,无签到,,https://api3.guili.fun/register?aff=YXWGJBBJBAGW,https://api3.guili.fun/register?aff=YXWGJBBJBAGW,,,2026-09-20T09:02:41
KKAPI,收费站,0.07,,0.12,,,无签到,,https://kkgait.com/register?aff=T9H5R28DPBXD,https://kkgait.com/register?aff=T9H5R28DPBXD,,,2026-09-20T09:02:41
LingFAPI,收费站,0.075,0.09,0.18,,,无签到,,https://linfengx.xyz/register?aff=QSMZUEBZZ6BJ,https://linfengx.xyz/register?aff=QSMZUEBZZ6BJ,,,2026-09-20T09:02:41
多多AI,收费站,0.075,0.1,0.2,2.2,,无签到,,https://quiteai.autos/register?aff=2F279HHNDZTX,https://quiteai.autos/register?aff=2F279HHNDZTX,10起充,,2026-09-20T09:02:41
牛大了2.0,收费站,0.075,0.14,0.21,1.5,,无签到,,https://cow.g201.com/register?aff=GVMQ4MJY3ANT,https://cow.g201.com/register?aff=GVMQ4MJY3ANT,,,2026-09-20T09:02:41
ZQuant AI,收费站,0.075,,0.12,,不固定,手动,,https://sub2api.zquant.site/register?aff=ZFCXK4BKYSWA,https://sub2api.zquant.site/register?aff=ZFCXK4BKYSWA,,,2026-09-20T09:02:41
Uni Token,收费站,0.08,0.08,0.1,,,无签到,,https://uni-token.com/register?aff=WSHUXMWT29KN,https://uni-token.com/register?aff=WSHUXMWT29KN,10起充,,2026-09-20T09:02:41
Synflux AI,收费站,0.08,0.08,0.12,,,无签到,,https://synflux.org/register?aff=GAM45DB76C3X,https://synflux.org/register?aff=GAM45DB76C3X,,,2026-09-20T09:02:41
1For,收费站,0.08,0.08,0.13,,,无签到,,https://1for.cc/register?aff=5X7LN67H2KQQ,https://1for.cc/register?aff=5X7LN67H2KQQ,,,2026-09-20T09:02:41
小雨 API,收费站,0.08,0.08,0.16,1.0,,无签到,,https://netvoro.xyz/sign-up?aff=vZVt,https://netvoro.xyz/sign-up?aff=vZVt,不能用,,2026-09-20T09:02:41
ooioo,收费站,0.08,0.08,0.2,,,无签到,,https://ooioo.work/sign-up?aff=hzXj,https://ooioo.work/sign-up?aff=hzXj,,,2026-09-20T09:02:41
云核Code,收费站,0.08,0.08,0.22,4.0,,无签到,,https://api.yunhe.one/sign-up?aff=486p,https://api.yunhe.one/sign-up?aff=486p,,,2026-09-20T09:02:41
BuyCodeKeyAPI,收费站,0.08,0.08,0.25,,,无签到,,https://console.buycodekey.com/sign-up?aff=Thy2,https://console.buycodekey.com/sign-up?aff=Thy2,,,2026-09-20T09:02:41
极光撸码,收费站,0.08,0.1,0.15,,,无签到,,https://sub.jluma.com/register?aff=NNST5TEJFZ8Q,https://sub.jluma.com/register?aff=NNST5TEJFZ8Q,,,2026-09-20T09:02:41
BizDecipher,收费站,0.08,0.1,0.175,0.01,,无签到,,https://bizdecipher.com/register?aff=L6XSMHWTVLMY,https://bizdecipher.com/register?aff=L6XSMHWTVLMY,,,2026-09-20T09:02:41
Codemax,收费站,0.08,0.12,0.15,1.0,,无签到,,https://api.codemax.store/register?aff=XHFYR93AW557,https://api.codemax.store/register?aff=XHFYR93AW557,,,2026-09-20T09:02:41
KeikoAI,收费站,0.08,0.12,0.2,,,无签到,,https://keiko.lol/register?aff=VEM4JJBTM5EB,https://keiko.lol/register?aff=VEM4JJBTM5EB,,,2026-09-20T09:02:41
帅API,收费站,0.08,0.12,0.2,,,无签到,,,,,,2026-09-20T09:02:41
章鱼公益平台,公益站,0.08,0.12,0.3,0.2,,无签到,,https://zhangyuapi.com/sign-up?aff=4SHk,https://zhangyuapi.com/sign-up?aff=4SHk,签到给太少,,2026-09-20T09:02:41
Ripp,收费站,0.08,0.14,0.2,,,无签到,,https://ripp.best/sign-up?aff=JvIJ,https://ripp.best/sign-up?aff=JvIJ,,,2026-09-20T09:02:41
我要API,收费站,0.08,0.14,0.3,0.2,,无签到,,https://api.wynb.top/sign-up?aff=fGoP,https://api.wynb.top/sign-up?aff=fGoP,,,2026-09-20T09:02:41
Kitty奇妙屋,收费站,0.08,0.15,0.2,4.0,,无签到,,https://kittyapi.xyz/register?aff=3K4K3N85KEBA,https://kittyapi.xyz/register?aff=3K4K3N85KEBA,福利分组 0.06; plus 0.1,,2026-09-20T09:02:41
疏雨轻蝉,收费站,0.08,0.15,0.2,,,无签到,,https://www.nbaiapi.com/register?aff=uSaR,https://www.nbaiapi.com/register?aff=uSaR,已欠费，不想签到了,,2026-09-20T09:02:41
Sub2API-2,收费站,0.08,0.15,,,,无签到,,https://sub2api.ys-ai.xyz/register?aff=SNSX2XGVMTNZ,https://sub2api.ys-ai.xyz/register?aff=SNSX2XGVMTNZ,,,2026-09-20T09:02:41
八秒聚合,收费站,0.08,0.25,0.2,0.08,,无签到,,https://8s.hk/sign-up?aff=tQJu,https://8s.hk/sign-up?aff=tQJu,特价 0.2; pro 0.6,,2026-09-20T09:02:41
guanyx,收费站,0.08,,0.08,0.11,,无签到,,https://newapi.guanyx.xyz/sign-up?aff=94nF,https://newapi.guanyx.xyz/sign-up?aff=94nF,grk限时0.01,,2026-09-20T09:02:41
Ctoken,收费站,0.08,,0.15,1.0,,无签到,,https://ctoken.top/sign-up?aff=LdDr,https://ctoken.top/sign-up?aff=LdDr,用不了,,2026-09-20T09:02:41
API BASIS,收费站,0.08,,0.22,,,无签到,,https://apibasis.com/sign-up?aff=ez9B,https://apibasis.com/sign-up?aff=ez9B,体验站：https://try.apibasis.com/,,2026-09-20T09:02:41
LinksAPI,收费站,0.08,,0.4,,,无签到,,https://api.linksapi.cn/sign-up?aff=Debi,https://api.linksapi.cn/sign-up?aff=Debi,玩不起，篡改余额,,2026-09-20T09:02:41
ThinkingCODE,收费站,0.085,0.085,0.17,,,无签到,,https://thinkingcode.uk/register?aff=3BGUEMGRNKKD,https://thinkingcode.uk/register?aff=3BGUEMGRNKKD,,,2026-09-20T09:02:41
CodeGo,收费站,0.0866,0.0866,0.09,,,无签到,,https://shu26.cfd/sign-up?aff=nhOw,https://shu26.cfd/sign-up?aff=nhOw,,,2026-09-20T09:02:41
君の星辰,收费站,0.088,0.1,0.4,,,无签到,,https://ai.centos.hk/register?aff=WDIj,https://ai.centos.hk/register?aff=WDIj,,,2026-09-20T09:02:41
SoulEcho AI 发电站,收费站,0.089,0.11,0.23,0.5,,无签到,,https://ai.soulecho.cc/sign-up?aff=rYY2IGuE4yDJ,https://ai.soulecho.cc/sign-up?aff=rYY2IGuE4yDJ,签到给太少,,2026-09-20T09:02:41
Qingflow,收费站,0.09,0.09,0.15,,,无签到,,https://jingyuqingfeng.cn/register?aff=GLDQ4BA7QR4J,https://jingyuqingfeng.cn/register?aff=GLDQ4BA7QR4J,福利分组 0.01; plus 0.08; pro 0.1,,2026-09-20T09:02:41
神稳AI,收费站,0.09,0.09,0.33,3.67,,无签到,,https://shenwenai.com/zh-cn/login?ref=FVMX2B72,https://shenwenai.com/zh-cn/login?ref=FVMX2B72,,,2026-09-20T09:02:41
TKEN,收费站,0.09,0.18,0.21,0.2,,无签到,,https://www.tken.shop/register?aff=88Ll,https://www.tken.shop/register?aff=88Ll,,,2026-09-20T09:02:41
wahuiliyi,收费站,0.09,0.18,0.23,,,无签到,,https://api2.wahuiliyi.cn/register?aff=TPL5APZJBDWB,https://api2.wahuiliyi.cn/register?aff=TPL5APZJBDWB,特价分组0.008、0.015，team分组0.07,,2026-09-20T09:02:41
卡皮巴拉API,收费站,0.09018,,,6.61,不固定,手动,,https://kapibala.asia/sign-up?aff=Q4MV,https://kapibala.asia/sign-up?aff=Q4MV,session里找Session Token,,2026-09-20T09:02:41
牛来API,收费站,0.1,0.1,0.15,,,无签到,,,,国模0.01,,2026-09-20T09:02:41
ModelPort,收费站,0.1,0.1,0.16,,,无签到,,https://modelport.link/register?aff=HYPSAM9Q658X,https://modelport.link/register?aff=HYPSAM9Q658X,,,2026-09-20T09:02:41
8sToken,收费站,0.1,0.1,0.2,,,无签到,,https://8stoken.com/sign-up?aff=DT72,https://8stoken.com/sign-up?aff=DT72,,,2026-09-20T09:02:41
思辰科技,收费站,0.1,0.1,0.2,,,无签到,,https://chain888.vip/register?aff=P8QBVXWMLQS3,https://chain888.vip/register?aff=P8QBVXWMLQS3,7天10刀体验额度,,2026-09-20T09:02:41
LMM Forge,收费站,0.1,0.1,0.25,0.6,不固定,手动,,https://api.lmm.best/sign-up?aff=CIUJ,https://api.lmm.best/sign-up?aff=CIUJ,,,2026-09-20T09:02:41
Stelink AI,收费站,0.1,0.1,0.3,3.0,,无签到,,https://api.xstx.net/sign-up?aff=L1Gr,https://api.xstx.net/sign-up?aff=L1Gr,,,2026-09-20T09:02:41
SheApi,收费站,0.1,0.1,0.35,1.0,不固定,手动,,https://cf.sheapi.cc/sign-up?aff=qFnd,https://cf.sheapi.cc/sign-up?aff=qFnd,有邀请返利,,2026-09-20T09:02:41
云舟API,收费站,0.1,0.1,0.37375,1.0,,无签到,,https://cli.999554.xyz/register?aff=86iU,https://cli.999554.xyz/register?aff=86iU,拉一个人1.5,,2026-09-20T09:02:41
Portdan AI,收费站,0.1,0.1,,,,无签到,,https://portdan.com/register?aff=6EH873JAGUQC,https://portdan.com/register?aff=6EH873JAGUQC,,,2026-09-20T09:02:41
凌云API,收费站,0.1,0.14,0.22,1.0,,无签到,,https://api.lingyunapi.xyz/register?aff=7UT6R3G4AY4T,https://api.lingyunapi.xyz/register?aff=7UT6R3G4AY4T,,,2026-09-20T09:02:41
AI8,收费站,0.1,0.15,0.2,2.0,,无签到,,https://ai8.my/sign-up?aff=sYZ6,https://ai8.my/sign-up?aff=sYZ6,签到给太少,,2026-09-20T09:02:41
Loomex,收费站,0.1,0.15,0.2,1.0,,无签到,,https://www.loomex.top/register?aff=T58GUJ4Y3CD4,https://www.loomex.top/register?aff=T58GUJ4Y3CD4,,,2026-09-20T09:02:41
UGF-API,收费站,0.1,0.15,0.2,,,无签到,,https://ai.ugf.cc/register?aff=LEBDLARCS99K,https://ai.ugf.cc/register?aff=LEBDLARCS99K,,,2026-09-20T09:02:41
V8AIX,收费站,0.1,0.15,0.25,5.0,,无签到,,https://v8aix.com/register?aff=KPCHJ35UN5S9,https://v8aix.com/register?aff=KPCHJ35UN5S9,,,2026-09-20T09:02:41
STA1N API,收费站,0.1,,0.1,2.5,,无签到,,https://cdn.sta1n.cn/sign-up?aff=lXgY,https://cdn.sta1n.cn/sign-up?aff=lXgY,,,2026-09-20T09:02:41
我的贾维斯,收费站,0.1,,0.1,,,无签到,,https://api.aijws.com/register?aff=MPUMYXPFMWSZ,https://api.aijws.com/register?aff=MPUMYXPFMWSZ,满血pro 0.1; 十元起充,,2026-09-20T09:02:41
吉吉AI,收费站,0.1,,0.16,3.0,,无签到,,,,,,2026-09-20T09:02:41
YiAPI,收费站,0.1,,,,,无签到,,https://yiapi.ai/register?aff=C9W2XN9D5FZE,https://yiapi.ai/register?aff=C9W2XN9D5FZE,,,2026-09-20T09:02:41
新疆幻城网安科技公益大模型安全网关,公益站,0.1,,,,,无签到,,https://api.hcnsec.cn/sign-up?aff=g5E8,https://api.hcnsec.cn/sign-up?aff=g5E8,国模，可签到但余额太多没必要,,2026-09-20T09:02:41
cc,收费站,0.11,0.11,,0.1,,无签到,,https://cc.3333366.xyz/sign-up?aff=QW9Q,https://cc.3333366.xyz/sign-up?aff=QW9Q,,,2026-09-20T09:02:41
PaidYun,收费站,0.115,0.19,0.2,,,无签到,,https://paidyun.cc.cd/register?aff=HV58UY8W2RRJ,https://paidyun.cc.cd/register?aff=HV58UY8W2RRJ,五元起充,,2026-09-20T09:02:41
Mikiko CC,收费站,0.1156,0.1632,0.2108,4.08,,无签到,,,,美元充值（十美元（68元）起充）,,2026-09-20T09:02:41
Hiyo codex,收费站,0.119,0.177,0.38,1.0,,无签到,,https://codex.hiyo.top/register?aff=EPABY7W2KBT4,https://codex.hiyo.top/register?aff=EPABY7W2KBT4,,,2026-09-20T09:02:41
词元枢阁,收费站,0.12,0.12,0.2,,,无签到,,https://api.aisz.mom/sign-up?aff=202u,https://api.aisz.mom/sign-up?aff=202u,福利分组 0.066; plus 0.08; pro 0.2,,2026-09-20T09:02:41
老蹬站,收费站,0.12,0.15,0.32,,,无签到,,https://688.qzz.io/register?aff=dI61,https://688.qzz.io/register?aff=dI61,10起充,,2026-09-20T09:02:41
StraitAPI,收费站,0.12,0.16,0.18,2.0,,无签到,,https://api.straitapi.com/sign-up?aff=vJhs,https://api.straitapi.com/sign-up?aff=vJhs,,,2026-09-20T09:02:41
YJ API,收费站,0.12,,0.12,,,无签到,,https://yjapi.manqiaotechnology.com/sign-up?aff=sr6P,https://yjapi.manqiaotechnology.com/sign-up?aff=sr6P,,,2026-09-20T09:02:41
鑫旺Neko API,收费站,0.12,,0.12,0.2,,无签到,,https://790053500.com/register?aff=7DL26837533U,https://790053500.com/register?aff=7DL26837533U,可开发票,,2026-09-20T09:02:41
TryAPI,收费站,0.125,0.125,0.225,,,无签到,,https://tryapi.tryai.chat/register?aff=L98WQRSALV4Z,https://tryapi.tryai.chat/register?aff=L98WQRSALV4Z,,,2026-09-20T09:02:41
CodeAPI,收费站,0.13,0.13,0.25,,,无签到,,https://codeapi.icu/register?ref=RCGFM5AX,https://codeapi.icu/register?ref=RCGFM5AX,,,2026-09-20T09:02:41
FluxionAI,收费站,0.13,,0.13,3.0,不固定,手动,,https://fluxionai.space/register?aff=WJLUAXMMBL72,https://fluxionai.space/register?aff=WJLUAXMMBL72,gpt+claude,,2026-09-20T09:02:41
梭子蟹 API,收费站,0.14,0.14,0.2,,,无签到,,https://suoxie.codes/register?aff=RUYX5EE25853,https://suoxie.codes/register?aff=RUYX5EE25853,,,2026-09-20T09:02:41
飓星API,收费站,0.14,0.14,0.26,5.0,,无签到,,https://token.stellaisle.com/register?aff=GS5a,https://token.stellaisle.com/register?aff=GS5a,,,2026-09-20T09:02:41
二狗子,收费站,0.146,0.1825,,1.09,,无签到,,https://ergouzi.life/sign-up?aff=ZnNM,https://ergouzi.life/sign-up?aff=ZnNM,,,2026-09-20T09:02:41
